ID,Report_ID,cohens_d,hedges_g,dataset
CP01,R1,0.34,0.33889490790899246,performance
CP01,R2,0.5,0.4980443285528031,performance
CP01,R3,1.77,1.7597687861271676,performance
CP01,R4,0.37,0.3685528031290743,performance
CP01,R5,0.35,0.34934003771213074,performance
CP01,R6,0.79,0.7884438608010507,performance
CP02,R1,0.6584772592301293,0.657980794847699,performance
CP03,R1,-1.2240412832549528,-1.2142489529889131,performance
CP03,R2,-0.6793488468595296,-0.6741892353643939,performance
CP03,R3,-0.2071647382914521,-0.20560710868023815,performance
CP04,R1,0.11104326083280991,0.11035921610488705,performance
CP05,R1,0.33322366893967514,0.3319270787881589,performance
CP05,R2,0.5146890756933412,0.512665396496644,performance
CP06,R1,-0.1365293313320437,-0.13619660347339535,performance
CP07,R1,0.7661383740319482,0.7635587835469921,performance
CP08,R1,0.9236586857446079,0.9147487948853351,performance
CP09,R1,-0.08307605845686813,-0.08281288192532578,performance
CP10,R1,0.5471872800183859,0.5408492034158563,performance
CP11,R1,0.3430836926563409,0.33829647834020593,performance
CP12,R1,-0.2590149782310986,-0.2576445286108282,performance
CP12,R2,-0.037319653863127654,-0.03712219537707936,performance
CD01,R1,-0.5497279276540185,-0.5475889084802674,diversity
CD01,R2,-0.43074179799384044,-0.4290481867304309,diversity
CD02,R1,-0.5698189182292144,-0.5684302449922626,diversity
CD03,R1,-2.0083160441856087,-1.9955242222481209,diversity
CD04,R1,-0.5596492994121851,-0.5578302876047783,diversity
CD04,R2,-1.1792099205237272,-1.1754743030352677,diversity
HAI01,R1,-0.25298221281347055,-0.22850006318636049,versus
HAI01,R2,-2.715290039756342,-2.4525200359089543,versus
HAI01,R3,-1.5617903794008943,-1.4106493749427431,versus
HAI01,R4,-3.8579787454054224,-3.4846259635919945,versus
HAI01,R5,-0.4175895770942321,-0.3771776825367258,versus
HAI01,R6,-0.5521576303742327,-0.49872302098317794,versus
HAI01,R7,-1.148487871178404,-1.03734388364501,versus
HAI01,R8,-1.0207745217859006,-0.9219898906453295,versus
HAI01,R9,-1.4866908459679467,-1.3428175382936292,versus
HAI01,R10,-1.511745532191929,-1.3654475774636778,versus
HAI01,R11,-1.9994053812860997,-1.805914537935832,versus
HAI01,R12,-1.8550408272025272,-1.6755207471506697,versus
HAI02,R1,0.7523616151824866,0.7495081577292028,versus
HAI02,R2,1.2572358569496815,1.2524675793632731,versus
HAI02,R3,0.7212489168102784,0.7185134594772431,versus
HAI02,R4,0.6618519471906085,0.6593417628144115,versus
HAI02,R5,0.6010407640085654,0.5987612162310361,versus
HAI02,R6,0.6717514421272202,0.6692037122582167,versus
HAI03,R1,1.81,1.7996175908221799,versus
HAI04,R1,-1.3068265615152355,-1.3048293736983503,versus
HAI05,R1,-0.6415605972938176,-0.6368776732259795,versus
HAI06,R1,0.9531718212869071,0.9525522079686275,versus
HAI07,R1,0.7870870008677827,0.7809218285372257,versus
HAI08,R1,-1.4130740326864184,-1.4118987562522463,versus
HAI08,R2,3.706306778935518,3.7032512910715973,versus
HAI09,R1,0.4335629692075621,0.4322661706954757,versus
HAI09,R2,0.5568363095992078,0.5550648261116176,versus
HAI09,R3,-0.5915451751063706,-0.5897023552462262,versus
HAI09,R4,-0.26753501327615536,-0.26670157086719537,versus
HAI10,R1,-2.347454083386067,-2.329066714586698,versus
HAI11,R1,-1.8522075911754579,-1.8404100905947225,versus
HAI12,R1,0.8357840507115868,0.835574947871779,versus
HAI13,R1,1.2187204915030947,1.1945075016056823,versus
HAI14,R1,-0.2927721378931888,-0.29182054914597366,versus
HAI15,R1,0.133,0.13279337131020197,versus
HAI15,R2,-1.278,-1.2760145002589334,versus
HAI15,R3,-0.026,-0.02595960642154324,versus
HAI15,R4,-0.196,-0.19569549456240293,versus
HAI15,R5,-0.037,-0.03694251683065769,versus
HAI15,R6,-0.046,-0.04592853443811497,versus
HAI15,R7,-0.313,-0.3125137234593475,versus
HAI15,R8,-0.066,-0.0658974624546867,versus
HAI15,R9,-0.271,-0.2705789746245469,versus
HAI15,R10,-0.371,-0.3704236147074055,versus
HAI15,R11,-0.196,-0.19569549456240293,versus
HAI15,R12,-0.605,-0.6040600725012947,versus
HAI15,R13,0.263,0.2625914034179182,versus
HAI15,R14,-0.415,-0.4143552563438633,versus
HAI15,R15,-0.604,-0.6030616261004661,versus
HAI15,R16,-1.441,-1.4387612635939928,versus
HAI15,R17,-0.779,-0.7777897462454687,versus
HAI15,R18,-1.765,-1.7622578974624548,versus
HAI15,R19,1.416,1.4138001035732781,versus
HAI15,R20,-1.612,-1.609495598135681,versus
HAI15,R21,-0.718,-0.716884515794925,versus
HAI15,R22,-1.242,-1.240070429829104,versus
HAI15,R23,-0.161,-0.1607498705334024,versus
HAI15,R24,-0.98,-0.9784774728120145,versus
HAI15,R25,-1.663,-1.660416364577939,versus
HAI15,R26,-0.034,-0.03394717762817193,versus
HAI15,R27,-0.619,-0.6180383221128949,versus
HAI15,R28,-1.461,-1.4587301916105646,versus
HAI15,R29,-0.087,-0.086864836872087,versus
HAI15,R30,0.144,0.14377628171931642,versus
HAI15,R31,0.047,0.046926980838943554,versus
HAI15,R32,0.569,0.5681160020714655,versus
HAI15,R33,1.05,1.0483687208700156,versus
HAI15,R34,-0.305,-0.3045261522527188,versus
HAI15,R35,-0.097,-0.09684930088037287,versus
HAI15,R36,-1.351,-1.34890108751942,versus
HAI15,R37,1.001,0.9994448472294147,versus
HAI15,R38,-0.309,-0.30851993785603316,versus
HAI15,R39,1.518,1.515641636457794,versus
