
    rstudent  dffits cook.d  cov.r tau2.del    QE.del    hat weight    dfbs inf 
62   -1.3663 -0.1437 0.0204 1.0000   1.0674 6427.2453 0.0104 1.0429 -0.1437     
63   -0.0369 -0.0003 0.0000 1.0218   1.0917 6635.4472 0.0104 1.0450 -0.0003     
64    0.1842  0.0224 0.0005 1.0216   1.0915 6634.4074 0.0104 1.0450  0.0224     
65    0.0913  0.0129 0.0002 1.0218   1.0917 6636.4377 0.0104 1.0450  0.0129     
66    0.5917  0.0632 0.0040 1.0183   1.0878 6599.7272 0.0104 1.0447  0.0632     
67    1.0566  0.1083 0.0117 1.0100   1.0786 6519.9896 0.0104 1.0439  0.1083     
68   -0.2457 -0.0220 0.0005 1.0210   1.0908 6624.5439 0.0104 1.0449 -0.0220     
69   -0.0465 -0.0013 0.0000 1.0218   1.0917 6635.1968 0.0104 1.0450 -0.0013     
70   -1.2580 -0.1315 0.0172 1.0032   1.0710 6451.6791 0.0104 1.0432 -0.1315     
71    1.0090  0.1038 0.0108 1.0111   1.0797 6529.5242 0.0104 1.0440  0.1038     
72   -0.2495 -0.0224 0.0005 1.0210   1.0908 6624.2395 0.0104 1.0449 -0.0224     
73    1.5156  0.1514 0.0226 0.9973   1.0644 6420.3060 0.0104 1.0427  0.1514     
74    0.1248  0.0163 0.0003 1.0218   1.0917 6635.9702 0.0104 1.0450  0.0163     
75   -1.0720 -0.1109 0.0123 1.0081   1.0765 6492.6330 0.0104 1.0436 -0.1109     
76    0.5350  0.0576 0.0033 1.0190   1.0886 6606.8719 0.0104 1.0447  0.0576     
77    0.4486  0.0490 0.0024 1.0199   1.0896 6616.4069 0.0104 1.0448  0.0490     
78    0.0885  0.0126 0.0002 1.0218   1.0917 6636.4638 0.0104 1.0450  0.0126     
79   -0.0876 -0.0055 0.0000 1.0217   1.0916 6633.8426 0.0104 1.0450 -0.0055     
80    0.3269  0.0368 0.0014 1.0209   1.0907 6626.8749 0.0104 1.0449  0.0368     
81   -0.3463 -0.0326 0.0011 1.0202   1.0900 6615.3663 0.0104 1.0448 -0.0326     
82    0.6601  0.0699 0.0049 1.0174   1.0868 6590.2468 0.0104 1.0446  0.0699     
83    0.2905  0.0331 0.0011 1.0211   1.0909 6629.2943 0.0104 1.0449  0.0331     
84   -0.1374 -0.0107 0.0001 1.0215   1.0914 6631.6081 0.0104 1.0449 -0.0107     
85   -0.3166 -0.0294 0.0009 1.0205   1.0902 6618.3296 0.0104 1.0448 -0.0294     
86    0.7381  0.0776 0.0061 1.0162   1.0855 6578.3313 0.0104 1.0445  0.0776     
87    0.3114  0.0351 0.0012 1.0209   1.0907 6631.2299 0.0104 1.0400  0.0352     
88    0.7830  0.0797 0.0064 1.0146   1.0844 6627.9402 0.0099 0.9887  0.0797     
89    1.5716  0.1561 0.0240 0.9955   1.0625 6493.6503 0.0104 1.0363  0.1561     
90    2.4577  0.2339 0.0519 0.9592   1.0222 6377.3269 0.0103 1.0308  0.2338     
91    1.0533  0.1078 0.0116 1.0100   1.0786 6564.2241 0.0104 1.0385  0.1078     
92    1.3887  0.1393 0.0192 1.0012   1.0689 6519.2902 0.0104 1.0372  0.1392     
93    1.5625  0.1552 0.0237 0.9958   1.0628 6494.9391 0.0104 1.0364  0.1552     
94   -0.0616 -0.0028 0.0000 1.0218   1.0917 6634.3069 0.0105 1.0465 -0.0028     
95    0.0609  0.0097 0.0001 1.0218   1.0917 6636.6026 0.0104 1.0417  0.0098     
96    0.1387  0.0173 0.0003 1.0209   1.0911 6636.4587 0.0100 1.0022  0.0173     
97    0.7651  0.0785 0.0062 1.0151   1.0847 6626.5689 0.0100 1.0002  0.0785     
98    0.5310  0.0559 0.0032 1.0182   1.0882 6631.9820 0.0100 1.0013  0.0559     
99   -0.1263 -0.0094 0.0001 1.0207   1.0910 6635.9254 0.0100 1.0020 -0.0094     
100   2.5633  0.2376 0.0535 0.9560   1.0191 6540.5595 0.0099 0.9881  0.2378     

